date,value
8/1/2009,5244
9/1/2009,5375
10/1/2009,5391
11/1/2009,5561
12/1/2009,5512
1/1/2010,5403
2/1/2010,5510
3/1/2010,5489
4/1/2010,5522
5/1/2010,5320
6/1/2010,5257
7/1/2010,5440
8/1/2010,5602
9/1/2010,5562
10/1/2010,5593
11/1/2010,5555
12/1/2010,5598
1/1/2011,5568
2/1/2011,5591
3/1/2011,5568
4/1/2011,5623
5/1/2011,5609
6/1/2011,5593
7/1/2011,5523
8/1/2011,5598
9/1/2011,5800
10/1/2011,5818
11/1/2011,5864
12/1/2011,5851
1/1/2012,5720
2/1/2012,5814
3/1/2012,6049
4/1/2012,6121
5/1/2012,6227
6/1/2012,6094
7/1/2012,6320
8/1/2012,5486
9/1/2012,6520
10/1/2012,6669
11/1/2012,6817
12/1/2012,6985
1/1/2013,6993
2/1/2013,7096
3/1/2013,7151
4/1/2013,7312
5/1/2013,7300
6/1/2013,7267
7/1/2013,7542
8/1/2013,7621
9/1/2013,7784
10/1/2013,7853
11/1/2013,8011
12/1/2013,8121
1/1/2014,8044
2/1/2014,8077
3/1/2014,8192
4/1/2014,8352
5/1/2014,8383
6/1/2014,8442
7/1/2014,8443
8/1/2014,8630
9/1/2014,8837
10/1/2014,8972
11/1/2014,9083
12/1/2014,9121
1/1/2015,9177
2/1/2015,9324
3/1/2015,9386
4/1/2015,9373
5/1/2015,9586
6/1/2015,9595
7/1/2015,9465
8/1/2015,9218
9/1/2015,9096
10/1/2015,9160
11/1/2015,9202
12/1/2015,9202
1/1/2016,9214
2/1/2016,9077
3/1/2016,9022
4/1/2016,8825
5/1/2016,8735
6/1/2016,8622
7/1/2016,8460
8/1/2016,8488
9/1/2016,8467
10/1/2016,8522
11/1/2016,8699
12/1/2016,8770
1/1/2017,8915
2/1/2017,9032
3/1/2017,9199
4/1/2017,9293
5/1/2017,9342
6/1/2017,9338
7/1/2017,9430
8/1/2017,9530
9/1/2017,9561
10/1/2017,9553
11/1/2017,9682
12/1/2017,9782
1/1/2018,9919
2/1/2018,10283
3/1/2018,10460
4/1/2018,10619
5/1/2018,10769
6/1/2018,10900
7/1/2018,10900
8/1/2018,11000
9/1/2018,11100
10/1/2018,11200
11/1/2018,11700
12/1/2018,11700
1/1/2019,11900
2/1/2019,12100
3/1/2019,12200
4/1/2019,12300
5/1/2019,12400
6/1/2019,12200
7/1/2019,12200
8/1/2019,12400
9/1/2019,12400
10/1/2019,12600
11/1/2019,12900
12/1/2019,12900
1/1/2020,12900
2/1/2020,13100
3/1/2020,13000
4/1/2020,12100
5/1/2020,11200
6/1/2020,11000
7/1/2020,11000
8/1/2020,9700
9/1/2020,10900
