date,price,uup,gdp,prod,vader,textblob_polarity
2012-04-05,103.31,21.51,100.19477053911059,6135.133333333333,0.34,0.0
2012-04-06,103.0975,21.4925,100.193766990062,6138.666666666667,0.272,0.0
2012-04-07,102.88499999999999,21.475,100.1927634410134,6142.2,0.20400000000000001,0.0
2012-04-08,102.6725,21.457500000000003,100.19175989196481,6145.733333333334,0.136,0.0
2012-04-09,102.46,21.44,100.1907563429162,6149.266666666666,0.068,0.0
2012-04-10,101.02,21.47,100.1897527938676,6152.8,0.0,0.0
2012-04-11,102.7,21.44,100.18874924481901,6156.333333333333,0.2986,0.11730248917748917
2012-04-12,103.64,21.3,100.1877456957704,6159.866666666667,0.0,0.0
2012-04-13,102.83,21.47,100.1867421467218,6163.4,0.23343333333333335,0.24523809523809526
2012-04-14,102.86333333333333,21.44333333333333,100.18573859767321,6166.933333333333,0.0382,0.0
2012-04-15,102.89666666666668,21.416666666666668,100.1847350486246,6170.466666666666,0.19665,0.15
2012-04-16,102.93,21.39,100.183731499576,6174.0,0.3551,0.3
2012-04-17,104.2,21.38,100.18272795052741,6177.533333333334,-0.43575,-0.31666666666666665
2012-04-18,102.67,21.38,100.1817244014788,6181.066666666667,0.08182499999999998,-0.10833333333333334
2012-04-19,102.27,21.37,100.18072085243021,6184.6,0.5994,0.1
2012-04-20,103.05,21.25,100.17971730338161,6188.133333333333,0.34,0.0
2012-04-21,103.07,21.273333333333333,100.178713754333,6191.666666666667,0.8854,0.0
2012-04-22,103.09,21.296666666666667,100.17771020528441,6195.2,0.7432,0.0
2012-04-23,103.11,21.32,100.17670665623581,6198.733333333334,0.601,0.0
2012-04-24,103.55,21.26,100.1757031071872,6202.266666666666,0.4588,0.0
2012-04-25,104.12,21.21,100.17469955813861,6205.8,0.26215000000000005,0.09999999999999999
2012-04-26,104.55,21.18,100.17369600909001,6209.333333333333,0.248375,-0.006881313131313141
2012-04-27,104.93,21.14,100.17269246004142,6212.866666666667,0.23459999999999998,-0.11376262626262626
2012-04-28,104.91000000000001,21.136666666666667,100.17168891099281,6216.4,0.15639999999999998,-0.06447811447811447
2012-04-29,104.89,21.133333333333333,100.17068536194421,6219.933333333333,0.07819999999999999,-0.01519360269360269
2012-04-30,104.87,21.13,100.16968181289562,6223.466666666666,0.0,0.03409090909090909
2012-05-01,106.16,21.15,100.16867826384701,6227.0,0.21892,0.3557575757575758
2012-05-02,105.22,21.22,100.16684589830102,6222.709677419355,0.6124,0.5
2012-05-03,102.54,21.24,100.16501353275501,6218.419354838709,0.6553100000000001,0.54
2012-05-04,98.49,21.33,100.16318116720902,6214.129032258064,0.6982200000000001,0.58
2012-05-05,98.30666666666666,21.34,100.16134880166301,6209.8387096774195,0.7411300000000001,0.62
2012-05-06,98.12333333333333,21.349999999999998,100.15951643611702,6205.548387096775,0.78404,0.6599999999999999
2012-05-07,97.94,21.36,100.15768407057101,6201.258064516129,0.82695,0.7
2012-05-08,97.01,21.41,100.15585170502501,6196.967741935484,0.37377777777777776,0.14367559523809526
2012-05-09,96.81,21.49,100.154019339479,6192.677419354839,-0.6927,-0.07500000000000001
2012-05-10,97.08,21.51,100.15218697393301,6188.387096774193,0.2732,0.0
2012-05-11,96.13,21.55,100.150354608387,6184.096774193548,0.39043333333333335,0.26666666666666666
2012-05-12,95.67999999999999,21.583333333333332,100.14852224284101,6179.806451612903,0.5076666666666667,0.5333333333333333
2012-05-13,95.23,21.616666666666667,100.14668987729502,6175.5161290322585,0.6249,0.8
2012-05-14,94.78,21.65,100.14485751174901,6171.225806451613,0.435425,0.453125
2012-05-15,93.98,21.82,100.14302514620302,6166.935483870968,0.24595,0.10625
2012-05-16,92.81,21.87,100.14119278065701,6162.645161290323,0.0,0.0
2012-05-17,92.56,21.85,100.13936041511101,6158.354838709677,0.5508,0.2278409090909091
2012-05-18,91.48,21.76,100.137528049565,6154.064516129032,0.0,-0.0625
2012-05-19,91.84333333333333,21.740000000000002,100.13569568401901,6149.774193548387,-0.03423333333333333,-0.0962962962962963
2012-05-20,92.20666666666666,21.72,100.133863318473,6145.4838709677415,-0.06846666666666666,-0.1300925925925926
2012-05-21,92.57,21.7,100.13203095292701,6141.193548387097,-0.1027,-0.1638888888888889
2012-05-22,91.66,21.92,100.13019858738102,6136.903225806452,0.5216,0.1925
2012-05-23,89.9,22.0,100.12836622183501,6132.612903225807,-0.0772,0.4
2012-05-24,90.66,22.08,100.12653385628902,6128.322580645161,0.5594,0.4575
2012-05-25,90.86,22.11,100.124701490743,6124.032258064516,0.7073,0.2
2012-05-26,90.83500000000001,22.105,100.12286912519701,6119.741935483871,0.5127666666666667,0.2029776936026936
2012-05-27,90.81,22.1,100.121036759651,6115.451612903225,0.31823333333333337,0.2059553872053872
2012-05-28,90.785,22.095,100.11920439410501,6111.1612903225805,0.12370000000000003,0.20893308080808082
2012-05-29,90.76,22.09,100.117372028559,6106.870967741936,-0.07083333333333333,0.2119107744107744
2012-05-30,87.82,22.27,100.11553966301301,6102.580645161291,-0.035416666666666666,0.17262205387205387
2012-05-31,86.53,22.28,100.113707297467,6098.290322580645,0.0,0.13333333333333333
2012-06-01,83.23,22.21,100.11187493192101,6094.0,0.03349166666666666,0.15198412698412697
2012-06-02,83.48,22.176666666666666,100.10940955992288,6101.533333333334,0.06698333333333333,0.17063492063492064
2012-06-03,83.73,22.143333333333334,100.10694418792474,6109.066666666667,0.10047499999999998,0.18928571428571428
2012-06-04,83.98,22.11,100.10447881592661,6116.6,0.13396666666666665,0.20793650793650792
2012-06-05,84.29,22.19,100.10201344392847,6124.133333333333,0.16745833333333332,0.2265873015873016
2012-06-06,85.02,22.01,100.09954807193034,6131.666666666667,0.20094999999999996,0.24523809523809523
2012-06-07,84.82,22.04,100.0970826999322,6139.2,0.23444166666666663,0.2638888888888889
2012-06-08,84.1,22.1,100.09461732793407,6146.733333333334,0.2679333333333333,0.28253968253968254
2012-06-09,83.63333333333333,22.11,100.09215195593595,6154.266666666666,0.30142499999999994,0.3011904761904762
2012-06-10,83.16666666666667,22.12,100.0896865839378,6161.8,0.33491666666666664,0.3198412698412698
2012-06-11,82.7,22.13,100.08722121193968,6169.333333333333,0.3684083333333333,0.3384920634920635
2012-06-12,83.32,22.06,100.08475583994154,6176.866666666667,0.4019,0.35714285714285715
2012-06-13,82.62,21.99,100.08229046794341,6184.4,0.49729999999999996,0.2910714285714286
2012-06-14,83.91,21.9,100.07982509594527,6191.933333333333,0.5927,0.225
2012-06-15,84.03,21.8,100.07735972394714,6199.466666666666,0.444525,0.29375
2012-06-16,83.77666666666667,21.833333333333332,100.07489435194901,6207.0,0.29635,0.36250000000000004
2012-06-17,83.52333333333333,21.866666666666667,100.07242897995087,6214.533333333334,0.148175,0.43125
2012-06-18,83.27,21.9,100.06996360795274,6222.066666666667,0.0,0.5
2012-06-19,84.03,21.74,100.0674982359546,6229.6,-0.1471,0.25
2012-06-20,81.8,21.76,100.06503286395647,6237.133333333333,-0.2942,0.0
2012-06-21,78.2,22.0,100.06256749195833,6244.666666666667,0.0039124999999999854,0.0390625
2012-06-22,79.76,21.95,100.0601021199602,6252.2,0.302025,0.078125
2012-06-23,79.57666666666667,21.973333333333333,100.05763674796206,6259.733333333334,0.0,0.0
2012-06-24,79.39333333333333,21.996666666666666,100.05517137596394,6267.266666666666,0.2553,-0.1
2012-06-25,79.21,22.02,100.05270600396581,6274.8,0.5106,-0.2
2012-06-26,79.36,21.98,100.05024063196767,6282.333333333333,0.5027875,-0.004687500000000011
2012-06-27,80.21,22.05,100.04777525996954,6289.866666666667,0.49497500000000005,0.19062500000000002
2012-06-28,77.69,22.07,100.0453098879714,6297.4,0.4819,0.125
2012-06-29,84.96,21.77,100.04284451597327,6304.933333333333,0.5423,0.25
2012-06-30,84.55666666666666,21.786666666666665,100.04037914397513,6312.466666666666,0.3615333333333334,0.16666666666666669
2012-07-01,84.15333333333334,21.803333333333335,100.037913771977,6320.0,0.1807666666666667,0.08333333333333334
2012-07-02,83.75,21.82,100.03533333740964,6293.096774193548,0.0,0.0
2012-07-03,84.90666666666667,21.8,100.03275290284229,6266.193548387097,0.03415,0.075
2012-07-04,86.06333333333333,21.945,100.03017246827493,6239.290322580645,0.0683,0.15
2012-07-05,87.22,22.09,100.02759203370758,6212.387096774193,0.10245,0.22499999999999998
2012-07-06,84.45,22.24,100.02501159914021,6185.483870967742,0.1366,0.3
2012-07-07,84.96333333333334,22.216666666666665,100.02243116457285,6158.580645161291,0.17075,0.375
2012-07-08,85.47666666666666,22.193333333333335,100.0198507300055,6131.677419354839,0.2049,0.44999999999999996
2012-07-09,85.99,22.17,100.01727029543814,6104.774193548387,0.23904999999999998,0.525
2012-07-10,83.91,22.25,100.01468986087077,6077.870967741936,0.2732,0.6
2012-07-11,85.81,22.27,100.01210942630343,6050.967741935484,-0.064,-0.008333333333333323
2012-07-12,86.08,22.32,100.00952899173606,6024.064516129032,0.0,0.0
2012-07-13,87.1,22.22,100.00694855716871,5997.1612903225805,0.0,0.0
2012-07-14,87.54333333333334,22.196666666666665,100.00436812260135,5970.258064516129,0.3612,-0.25
2012-07-15,87.98666666666666,22.173333333333332,100.00178768803399,5943.354838709677,0.1806,-0.125
2012-07-16,88.43,22.15,99.99920725346664,5916.451612903225,0.0,0.0
2012-07-17,89.22,22.13,99.99662681889927,5889.548387096775,0.1408,0.08396267361111111
2012-07-18,89.87,22.11,99.99404638433192,5862.645161290323,0.2816,0.16792534722222222
2012-07-19,92.66,22.1,99.99146594976456,5835.741935483871,0.1027,0.06666666666666665
2012-07-20,91.44,22.27,99.9888855151972,5808.8387096774195,0.16254,0.15333333333333332
2012-07-21,90.34,22.28,99.98630508062985,5781.935483870968,0.22237999999999997,0.24
2012-07-22,89.24,22.29,99.98372464606248,5755.032258064516,0.28221999999999997,0.32666666666666666
2012-07-23,88.14,22.3,99.98114421149513,5728.129032258064,0.34206,0.41333333333333333
2012-07-24,88.5,22.38,99.97856377692777,5701.225806451613,0.4019,0.5
2012-07-25,88.97,22.27,99.97598334236041,5674.322580645161,0.33491666666666664,0.4166666666666667
2012-07-26,89.39,22.05,99.97340290779306,5647.41935483871,0.26793333333333336,0.33333333333333337
2012-07-27,90.13,22.04,99.9708224732257,5620.516129032258,0.20095000000000002,0.25
2012-07-28,90.01333333333334,22.046666666666667,99.96824203865833,5593.612903225807,0.13396666666666668,0.16666666666666669
2012-07-29,89.89666666666666,22.05333333333333,99.96566160409098,5566.709677419355,0.06698333333333334,0.08333333333333337
2012-07-30,89.78,22.06,99.96308116952362,5539.806451612903,0.0,0.0
2012-07-31,88.06,22.01,99.96050073495627,5512.903225806452,0.008561111111111111,0.01904761904761905
2012-08-01,88.91,22.16,99.9579203003889,5486.0,0.017122222222222223,0.0380952380952381
2012-08-02,87.13,22.2,99.95550857971625,5519.354838709677,0.025683333333333336,0.05714285714285715
2012-08-03,91.4,21.93,99.9530968590436,5552.709677419355,0.034244444444444445,0.0761904761904762
2012-08-04,91.66666666666667,21.919999999999998,99.95068513837096,5586.064516129032,0.042805555555555555,0.09523809523809525
2012-08-05,91.93333333333334,21.91,99.9482734176983,5619.419354838709,0.05136666666666667,0.1142857142857143
2012-08-06,92.2,21.9,99.94586169702565,5652.774193548387,0.05992777777777778,0.13333333333333336
2012-08-07,93.67,21.9,99.943449976353,5686.129032258064,0.06848888888888889,0.1523809523809524
2012-08-08,93.35,21.94,99.94103825568034,5719.4838709677415,0.07705000000000001,0.17142857142857146
2012-08-09,93.36,22.02,99.9386265350077,5752.8387096774195,0.228,0.17132034632034637
2012-08-10,92.87,21.98,99.93621481433505,5786.193548387097,0.37895,0.17121212121212126
2012-08-11,92.82333333333334,21.97,99.93380309366239,5819.548387096775,0.5308666666666667,0.3491414141414142
2012-08-12,92.77666666666667,21.96,99.93139137298974,5852.903225806452,0.6827833333333333,0.527070707070707
2012-08-13,92.73,21.95,99.92897965231708,5886.258064516129,0.8347,0.705
2012-08-14,93.43,21.96,99.92656793164444,5919.612903225807,0.58735,0.3525
2012-08-15,94.33,22.02,99.92415621097179,5952.967741935484,0.34,0.0
2012-08-16,95.6,21.94,99.92174449029913,5986.322580645161,0.2115,0.44375
2012-08-17,96.01,21.98,99.91933276962648,6019.677419354839,0.0,-0.05
2012-08-18,95.99666666666667,21.97,99.91692104895382,6053.032258064516,0.28750000000000003,-0.03333333333333334
2012-08-19,95.98333333333333,21.96,99.91450932828117,6086.387096774193,0.5750000000000001,-0.01666666666666667
2012-08-20,95.97,21.95,99.91209760760853,6119.741935483871,0.8625,0.0
2012-08-21,96.68,21.8,99.90968588693588,6153.096774193548,0.31070000000000003,0.32626262626262625
2012-08-22,97.26,21.7,99.90727416626322,6186.451612903225,0.17153999999999997,0.2775
2012-08-23,96.27,21.66,99.90486244559057,6219.806451612903,0.2732,0.0
2012-08-24,96.15,21.73,99.90245072491791,6253.1612903225805,0.7712,0.0
2012-08-25,95.92333333333333,21.736666666666668,99.90003900424527,6286.516129032258,0.5784,0.0
2012-08-26,95.69666666666667,21.743333333333332,99.89762728357262,6319.870967741936,0.3856,0.0
