Weekly U.S. Field Production of Crude Oil
https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=WCRFPUS2&f=W
12:00:27 GMT-0500 (Central Daylight Time)
Source: U.S. Energy Information Administration
Week of,Weekly U.S. Field Production of Crude Oil Thousand Barrels per Day
05/5/1989,7843
04/28/1989,7880
04/21/1989,7880
04/14/1989,7880
04/7/1989,7880
03/31/1989,7921
03/24/1989,7921
03/17/1989,7921
03/10/1989,7921
03/3/1989,7921
02/24/1989,7965
02/17/1989,7965
02/10/1989,7965
02/3/1989,7965
01/27/1989,8021
01/20/1989,8021
01/13/1989,8021
01/6/1989,8021
12/30/1988,8035
12/23/1988,8035
12/16/1988,8035
12/9/1988,8035
12/2/1988,8035
11/25/1988,8026
11/18/1988,8026
11/11/1988,8026
11/4/1988,8026
10/28/1988,8085
10/21/1988,8085
10/14/1988,8085
10/7/1988,8085
09/30/1988,8147
09/23/1988,8147
09/16/1988,8147
09/9/1988,8147
09/2/1988,8147
08/26/1988,8128
08/19/1988,8128
08/12/1988,8128
08/5/1988,8128
07/29/1988,8189
07/22/1988,8189
07/15/1988,8189
07/8/1988,8189
07/1/1988,8210
06/24/1988,8210
06/17/1988,8210
06/10/1988,8210
06/3/1988,8210
05/27/1988,8240
05/20/1988,8240
05/13/1988,8240
05/6/1988,8240
04/29/1988,8269
04/22/1988,8269
04/15/1988,8269
04/8/1988,8269
04/1/1988,8306
03/25/1988,8306
03/18/1988,8306
03/11/1988,8306
03/4/1988,8306
02/26/1988,8353
02/19/1988,8353
02/12/1988,8353
02/5/1988,8353
01/29/1988,8395
01/22/1988,8395
01/15/1988,8395
01/8/1988,8395
01/1/1988,8348
12/25/1987,8348
12/18/1987,8348
12/11/1987,8348
12/4/1987,8348
11/27/1987,8283
11/20/1987,8283
11/13/1987,8283
11/6/1987,8283
10/30/1987,8281
10/23/1987,8281
10/16/1987,8281
10/9/1987,8281
10/2/1987,8281
09/25/1987,8162
09/18/1987,8162
09/11/1987,8162
09/4/1987,8162
08/28/1987,8204
08/21/1987,8204
08/14/1987,8204
08/7/1987,8204
07/31/1987,8287
07/24/1987,8287
07/17/1987,8287
07/10/1987,8287
07/3/1987,8287
06/26/1987,8303
06/19/1987,8303
06/12/1987,8303
06/5/1987,8303
05/29/1987,8296
05/22/1987,8296
05/15/1987,8296
05/8/1987,8296
05/1/1987,8361
04/24/1987,8361
04/17/1987,8361
04/10/1987,8361
04/3/1987,8361
03/27/1987,8336
03/20/1987,8336
03/13/1987,8336
03/6/1987,8336
02/27/1987,8383
02/20/1987,8383
02/13/1987,8383
02/6/1987,8383
01/30/1987,8354
01/23/1987,8354
01/16/1987,8354
01/9/1987,8354
01/2/1987,8353
12/26/1986,8348
12/19/1986,8348
12/12/1986,8348
12/5/1986,8348
11/28/1986,8321
11/21/1986,8321
11/14/1986,8321
11/7/1986,8321
10/31/1986,8773
10/24/1986,8773
10/17/1986,8773
10/10/1986,8773
10/3/1986,8773
09/26/1986,8671
09/19/1986,8671
09/12/1986,8671
09/5/1986,8671
08/29/1986,8708
08/22/1986,8708
08/15/1986,8708
08/8/1986,8708
08/1/1986,8737
07/25/1986,8737
07/18/1986,8737
07/11/1986,8737
07/4/1986,8737
06/27/1986,8792
06/20/1986,8792
06/13/1986,8792
06/6/1986,8792
05/30/1986,8805
05/23/1986,8805
05/16/1986,8805
05/9/1986,8805
05/2/1986,8805
04/25/1986,8815
04/18/1986,8815
04/11/1986,8815
04/4/1986,8815
03/28/1986,8939
03/21/1986,8939
03/14/1986,8939
03/7/1986,8939
02/28/1986,8939
02/21/1986,8940
02/14/1986,8940
02/7/1986,8940
01/31/1986,8942
01/24/1986,8942
01/17/1986,8942
01/10/1986,8942
01/3/1986,8942
12/27/1985,8930
12/20/1985,8930
12/13/1985,8930
12/6/1985,8930
11/29/1985,8932
11/22/1985,8932
11/15/1985,8932
11/8/1985,8932
11/1/1985,8932
10/25/1985,8943
10/18/1985,8943
10/11/1985,8943
10/4/1985,8943
09/27/1985,8874
09/20/1985,8874
09/13/1985,8874
09/6/1985,8874
08/30/1985,8895
08/23/1985,8895
08/16/1985,8895
08/9/1985,8895
08/2/1985,8895
07/26/1985,8904
07/19/1985,8904
07/12/1985,8904
07/5/1985,8904
06/28/1985,8965
06/21/1985,8965
06/14/1985,8965
06/7/1985,8965
05/31/1985,8969
05/24/1985,8969
05/17/1985,8969
05/10/1985,8969
05/3/1985,8969
04/26/1985,8842
04/19/1985,8842
04/12/1985,8842
04/5/1985,8842
03/29/1985,8927
03/22/1985,8927
03/15/1985,8927
03/8/1985,8927
03/1/1985,8927
02/22/1985,8928
02/15/1985,8928
02/8/1985,8928
02/1/1985,8928
01/25/1985,8929
01/18/1985,8929
01/11/1985,8929
01/4/1985,8929
12/28/1984,8797
12/21/1984,8797
12/14/1984,8797
12/7/1984,8797
11/30/1984,8846
11/23/1984,8846
11/16/1984,8846
11/9/1984,8846
11/2/1984,8846
10/26/1984,8847
10/19/1984,8847
10/12/1984,8847
10/5/1984,8847
09/28/1984,8759
09/21/1984,8759
09/14/1984,8759
09/7/1984,8759
08/31/1984,8781
08/24/1984,8781
08/17/1984,8781
08/10/1984,8781
08/3/1984,8781
07/27/1984,8769
07/20/1984,8769
07/13/1984,8769
07/6/1984,8769
06/29/1984,8743
06/22/1984,8743
06/15/1984,8743
06/8/1984,8743
06/1/1984,8743
05/25/1984,8753
05/18/1984,8753
05/11/1984,8753
05/4/1984,8753
04/27/1984,8688
04/20/1984,8688
04/13/1984,8688
04/6/1984,8688
03/30/1984,8718
03/23/1984,8718
03/16/1984,8718
03/9/1984,8718
03/2/1984,8718
02/24/1984,8726
02/17/1984,8726
02/10/1984,8726
02/3/1984,8726
01/27/1984,8659
01/20/1984,8659
01/13/1984,8659
01/6/1984,8659
12/30/1983,8612
12/23/1983,8612
12/16/1983,8612
12/9/1983,8612
12/2/1983,8612
11/25/1983,8624
11/18/1983,8624
11/11/1983,8624
11/4/1983,8624
10/28/1983,8654
10/21/1983,8654
10/14/1983,8654
10/7/1983,8654
09/30/1983,8666
09/23/1983,8666
09/16/1983,8666
09/9/1983,8666
09/2/1983,8666
08/26/1983,8653
08/19/1983,8653
08/12/1983,8653
08/5/1983,8653
07/29/1983,8647
07/22/1983,8647
07/15/1983,8647
07/8/1983,8647
07/1/1983,8676
06/24/1983,8676
06/17/1983,8676
06/10/1983,8676
06/3/1983,8676
05/20/1983,8682
05/13/1983,8682
04/29/1983,8686
04/15/1983,8686
04/8/1983,8686
04/1/1983,8677
03/25/1983,8677
03/18/1983,8677
03/11/1983,8677
03/4/1983,8677
02/25/1983,8660
02/18/1983,8660
02/11/1983,8660
02/4/1983,8660
01/28/1983,8634
01/21/1983,8634
01/14/1983,8634
01/7/1983,8634
