DATE,USALORSGPNOSTSAM
1960-01-01,100.991748534698
1960-02-01,101.002084156084
1960-03-01,100.925914371566
1960-04-01,100.765568960455
1960-05-01,100.540044804103
1960-06-01,100.266988486915
1960-07-01,99.9493842106233
1960-08-01,99.5867038402377
1960-09-01,99.1888554898181
1960-10-01,98.7927822777567
1960-11-01,98.4455384841221
1960-12-01,98.1876516937249
1961-01-01,98.0333360494725
1961-02-01,97.9834617588134
1961-03-01,98.0304592466162
1961-04-01,98.1552501476159
1961-05-01,98.3371584073216
1961-06-01,98.5578314446388
1961-07-01,98.8007138598151
1961-08-01,99.0523642660651
1961-09-01,99.3017729063112
1961-10-01,99.5386143695492
1961-11-01,99.7527776112273
1961-12-01,99.9343579010328
1962-01-01,100.074846664374
1962-02-01,100.167402312662
1962-03-01,100.209656491756
1962-04-01,100.209531001086
1962-05-01,100.176955307827
1962-06-01,100.118331022744
1962-07-01,100.033088907834
1962-08-01,99.9186468319798
1962-09-01,99.7769592470401
1962-10-01,99.622799218706
1962-11-01,99.4757500161217
1962-12-01,99.3530104564881
1963-01-01,99.2616257766684
1963-02-01,99.2042265640908
1963-03-01,99.1822212146044
1963-04-01,99.1962887498601
1963-05-01,99.2449382467012
1963-06-01,99.3202246774089
1963-07-01,99.4007068529637
1963-08-01,99.4641270217848
1963-09-01,99.4993721778938
1963-10-01,99.5192816456793
1963-11-01,99.5448912234354
1963-12-01,99.5906108179872
1964-01-01,99.6488558838238
1964-02-01,99.7024561179854
1964-03-01,99.735829991864
1964-04-01,99.7461950633484
1964-05-01,99.7361872146146
1964-06-01,99.7079750460421
1964-07-01,99.6587213594035
1964-08-01,99.5870573744649
1964-09-01,99.5008636399005
1964-10-01,99.4264347043417
1964-11-01,99.3937446365576
1964-12-01,99.4210348005586
1965-01-01,99.496447855431
1965-02-01,99.597723816212
1965-03-01,99.7080946528605
1965-04-01,99.830149589758
1965-05-01,99.9766809113889
1965-06-01,100.160637090965
1965-07-01,100.383233186701
1965-08-01,100.639078721386
1965-09-01,100.918373707159
1965-10-01,101.206579093722
1965-11-01,101.484931970773
1965-12-01,101.730233154107
1966-01-01,101.915301800481
1966-02-01,102.015589175573
1966-03-01,102.020105717525
1966-04-01,101.948220941662
1966-05-01,101.830692493586
1966-06-01,101.696329560178
1966-07-01,101.562330123429
1966-08-01,101.436706286777
1966-09-01,101.320907549945
1966-10-01,101.212041244596
1966-11-01,101.104189165599
1966-12-01,100.989442324762
1967-01-01,100.859086368997
1967-02-01,100.706977562704
1967-03-01,100.534224202718
1967-04-01,100.355576705423
1967-05-01,100.190793183165
1967-06-01,100.056834018998
1967-07-01,99.9594622918461
1967-08-01,99.900919414543
1967-09-01,99.8851061386495
1967-10-01,99.9201608050168
1967-11-01,100.014470470171
1967-12-01,100.169233647527
1968-01-01,100.366855519835
1968-02-01,100.581281273201
1968-03-01,100.785333108329
1968-04-01,100.957008047617
1968-05-01,101.079955608756
1968-06-01,101.146390879624
1968-07-01,101.163562901308
1968-08-01,101.146415766595
1968-09-01,101.113907179904
1968-10-01,101.08798464957
1968-11-01,101.086160381407
1968-12-01,101.113868195649
1969-01-01,101.155270671827
1969-02-01,101.186207507335
1969-03-01,101.186237229407
1969-04-01,101.151519376256
1969-05-01,101.084463584762
1969-06-01,100.986018504676
1969-07-01,100.850472633541
1969-08-01,100.670046944449
1969-09-01,100.442241248019
1969-10-01,100.180383863082
1969-11-01,99.9041750998361
1969-12-01,99.632937732049
1970-01-01,99.3801883034161
1970-02-01,99.1550036375315
1970-03-01,98.962179007223
1970-04-01,98.8005128949631
1970-05-01,98.6646842087778
1970-06-01,98.5449221923328
1970-07-01,98.42486560822
1970-08-01,98.2938579071941
1970-09-01,98.1591322260475
1970-10-01,98.0586199558043
1970-11-01,98.0345214435804
1970-12-01,98.1046954216767
1971-01-01,98.2433819288957
1971-02-01,98.3999595519872
1971-03-01,98.527354823948
1971-04-01,98.6091560663628
1971-05-01,98.6466791502953
1971-06-01,98.649072792062
1971-07-01,98.6264568372591
1971-08-01,98.5912094130112
1971-09-01,98.5609804009191
1971-10-01,98.5625565255628
1971-11-01,98.6237678967006
1971-12-01,98.7631657895462
1972-01-01,98.975306715264
1972-02-01,99.2422223267754
1972-03-01,99.5394195416262
1972-04-01,99.8378280420204
1972-05-01,100.11290547857
1972-06-01,100.353664491909
1972-07-01,100.573309303027
1972-08-01,100.796146504024
1972-09-01,101.045828404363
1972-10-01,101.333258485271
1972-11-01,101.657637261132
1972-12-01,102.00466642922
1973-01-01,102.341937995525
1973-02-01,102.629852923026
1973-03-01,102.8334043651
1973-04-01,102.93761952199
1973-05-01,102.941082229665
1973-06-01,102.856357425457
1973-07-01,102.717438407285
1973-08-01,102.559712012571
1973-09-01,102.404096702467
1973-10-01,102.242887851138
1973-11-01,102.056531749585
1973-12-01,101.830679747427
1974-01-01,101.574851604455
1974-02-01,101.3063559818
1974-03-01,101.036617538484
1974-04-01,100.758714102633
1974-05-01,100.457932485806
1974-06-01,100.122793616538
1974-07-01,99.7575354362884
1974-08-01,99.37281748959
1974-09-01,98.9787598048856
1974-10-01,98.5795574862633
1974-11-01,98.1802251894486
1974-12-01,97.7935681258506
1975-01-01,97.4470174106738
1975-02-01,97.1721707196024
1975-03-01,96.9917727126385
1975-04-01,96.9156253917382
1975-05-01,96.9398099272623
1975-06-01,97.051978720676
1975-07-01,97.2290822581759
1975-08-01,97.4481382287698
1975-09-01,97.6921371105066
1975-10-01,97.9527756216848
1975-11-01,98.2245271697718
1975-12-01,98.497200614751
