date,price,uup,gdp,prod,vader
2019-01-01,45.974999999999994,25.045,100.07520432745399,11900.0,0.7176250000000001
2019-01-02,46.54,25.14,100.07443561696415,11906.451612903225,-0.28545
2019-01-03,47.09,25.0,100.07366690647432,11912.90322580645,-0.21595
2019-01-04,47.96,24.96,100.07289819598448,11919.354838709678,-0.03564999999999999
2019-01-05,48.14666666666667,24.923333333333336,100.07212948549463,11925.806451612903,-0.425675
2019-01-06,48.333333333333336,24.886666666666667,100.07136077500479,11932.258064516129,-0.8157
2019-01-07,48.52,24.85,100.07059206451495,11938.709677419354,0.2821142857142857
2019-01-08,49.78,24.93,100.06982335402512,11945.161290322581,-0.06932499999999998
2019-01-09,52.36,24.7,100.06905464353528,11951.612903225807,0.019625000000000004
2019-01-10,52.59,24.84,100.06828593304544,11958.064516129032,-0.06046153846153843
2019-01-11,51.59,24.86,100.06751722255561,11964.516129032258,0.0015272727272727092
2019-01-12,51.230000000000004,24.86,100.06674851206577,11970.967741935483,0.40296000000000004
2019-01-13,50.87,24.86,100.06597980157592,11977.41935483871,0.3577166666666667
2019-01-14,50.51,24.86,100.06521109108608,11983.870967741936,-0.13198000000000001
2019-01-15,52.11,24.95,100.06444238059625,11990.322580645161,0.13385454545454545
2019-01-16,52.31,24.98,100.06367367010641,11996.774193548386,-0.15269999999999995
2019-01-17,52.07,24.98,100.06290495961657,12003.225806451614,0.061266666666666664
2019-01-18,53.8,25.06,100.06213624912674,12009.677419354839,-0.18616666666666667
2019-01-19,53.4925,25.06,100.0613675386369,12016.129032258064,-0.04860833333333334
2019-01-20,53.185,25.06,100.06059882814706,12022.58064516129,0.08894999999999999
2019-01-21,52.8775,25.06,100.05983011765721,12029.032258064517,0.013016666666666662
2019-01-22,52.57,25.06,100.05906140716738,12035.483870967742,-0.06291666666666666
2019-01-23,52.62,25.0,100.05829269667754,12041.935483870968,-0.172675
2019-01-24,53.13,25.15,100.0575239861877,12048.387096774193,-0.18393749999999998
2019-01-25,53.69,24.94,100.05675527569787,12054.838709677419,-0.1968
2019-01-26,53.123333333333335,24.94666666666667,100.05598656520803,12061.290322580646,-0.5787
2019-01-27,52.556666666666665,24.953333333333333,100.0552178547182,12067.741935483871,-0.1591
2019-01-28,51.99,24.96,100.05444914422836,12074.193548387097,-0.22598000000000001
2019-01-29,53.31,24.97,100.0536804337385,12080.645161290322,0.021949999999999997
2019-01-30,54.23,24.84,100.05291172324867,12087.09677419355,-0.24114999999999998
2019-01-31,53.79,24.89,100.05214301275883,12093.548387096775,-0.2848909090909091
2019-02-01,55.26,24.89,100.051374302269,12100.0,0.1202222222222222
2019-02-02,55.026666666666664,24.913333333333334,100.0503883054746,12103.57142857143,-0.2523388888888889
2019-02-03,54.79333333333334,24.936666666666667,100.04940230868021,12107.142857142857,-0.6249
2019-02-04,54.56,24.96,100.04841631188582,12110.714285714286,0.14708333333333332
2019-02-05,53.66,25.03,100.04743031509143,12114.285714285714,-0.1038
2019-02-06,54.01,25.13,100.04644431829703,12117.857142857143,0.23801111111111112
2019-02-07,52.64,25.19,100.04545832150264,12121.42857142857,-0.14028
2019-02-08,52.72,25.22,100.04447232470825,12125.0,0.029028571428571435
2019-02-09,52.61666666666667,25.25,100.04348632791385,12128.57142857143,-0.14796666666666666
2019-02-10,52.51333333333333,25.279999999999998,100.04250033111947,12132.142857142857,0.12726666666666667
2019-02-11,52.41,25.31,100.04151433432507,12135.714285714286,0.17343750000000002
2019-02-12,53.1,25.23,100.04052833753067,12139.285714285714,0.23115
2019-02-13,53.9,25.36,100.03954234073629,12142.857142857143,-0.12457142857142857
2019-02-14,54.41,25.33,100.03855634394189,12146.42857142857,0.09077
2019-02-15,55.59,25.28,100.0375703471475,12150.0,-0.04307999999999999
2019-02-16,55.715,25.2575,100.03658435035311,12153.57142857143,0.8933
2019-02-17,55.84,25.235,100.03559835355871,12157.142857142857,0.43083333333333335
2019-02-18,55.965,25.212500000000002,100.03461235676433,12160.714285714286,0.47908000000000006
2019-02-19,56.09,25.19,100.03362635996993,12164.285714285714,0.023942857142857158
2019-02-20,56.92,25.21,100.03264036317553,12167.857142857143,0.2512
2019-02-21,56.96,25.23,100.03165436638115,12171.42857142857,-0.3991
2019-02-22,57.26,25.22,100.03066836958675,12175.0,-0.06519090909090909
2019-02-23,56.666666666666664,25.21333333333333,100.02968237279237,12178.57142857143,0.4929666666666666
2019-02-24,56.07333333333333,25.206666666666667,100.02869637599797,12182.142857142857,0.2705833333333333
2019-02-25,55.48,25.2,100.02771037920357,12185.714285714286,0.048199999999999986
2019-02-26,55.5,25.1,100.02672438240918,12189.285714285714,0.1427
2019-02-27,56.94,25.12,100.02573838561479,12192.857142857143,0.19125
2019-02-28,57.22,25.14,100.0247523888204,12196.42857142857,-0.028528571428571427
2019-03-01,55.8,25.23,100.023766392026,12200.0,0.43331666666666663
2019-03-02,56.06333333333333,25.240000000000002,100.02280921534245,12203.225806451614,0.43035
2019-03-03,56.32666666666667,25.25,100.0218520386589,12206.451612903225,0.1154
2019-03-04,56.59,25.26,100.02089486197535,12209.677419354839,0.15794999999999998
2019-03-05,56.56,25.33,100.0199376852918,12212.90322580645,0.0
2019-03-06,56.22,25.33,100.01898050860825,12216.129032258064,0.0
2019-03-07,56.66,25.56,100.0180233319247,12219.354838709678,-0.32865
2019-03-08,56.07,25.48,100.01706615524114,12222.58064516129,-0.008529999999999994
2019-03-09,56.31,25.46,100.0161089785576,12225.806451612903,-0.004264999999999997
2019-03-10,56.55,25.44,100.01515180187404,12229.032258064517,0.0
